,35_vwap,35_vol,35_return
2013-05-04,376.27606244138025,0.0,1.0
2013-05-05,376.27606244138025,0.0,1.0
2013-05-06,376.27606244138025,0.0,1.0
2013-05-07,376.27606244138025,0.0,1.0
2013-05-08,376.27606244138025,0.0,1.0
2013-05-09,376.27606244138025,0.0,1.0
2013-05-10,376.27606244138025,0.0,1.0
2013-05-11,376.27606244138025,0.0,1.0
2013-05-12,376.27606244138025,0.0,1.0
2013-05-13,376.27606244138025,0.0,1.0
2013-05-14,376.27606244138025,0.0,1.0
2013-05-15,376.27606244138025,0.0,1.0
2013-05-16,376.27606244138025,0.0,1.0
2013-05-17,376.27606244138025,0.0,1.0
2013-05-18,376.27606244138025,0.0,1.0
2013-05-19,376.27606244138025,0.0,1.0
2013-05-20,376.27606244138025,0.0,1.0
2013-05-21,376.27606244138025,0.0,1.0
2013-05-22,376.27606244138025,0.0,1.0
2013-05-23,376.27606244138025,0.0,1.0
2013-05-24,376.27606244138025,0.0,1.0
2013-05-25,376.27606244138025,0.0,1.0
2013-05-26,376.27606244138025,0.0,1.0
2013-05-27,376.27606244138025,0.0,1.0
2013-05-28,376.27606244138025,0.0,1.0
2013-05-29,376.27606244138025,0.0,1.0
2013-05-30,376.27606244138025,0.0,1.0
2013-05-31,376.27606244138025,0.0,1.0
2013-06-01,376.27606244138025,0.0,1.0
2013-06-02,376.27606244138025,0.0,1.0
2013-06-03,376.27606244138025,0.0,1.0
2013-06-04,376.27606244138025,0.0,1.0
2013-06-05,376.27606244138025,0.0,1.0
2013-06-06,376.27606244138025,0.0,1.0
2013-06-07,376.27606244138025,0.0,1.0
2013-06-08,376.27606244138025,0.0,1.0
2013-06-09,376.27606244138025,0.0,1.0
2013-06-10,376.27606244138025,0.0,1.0
2013-06-11,376.27606244138025,0.0,1.0
2013-06-12,376.27606244138025,0.0,1.0
2013-06-13,376.27606244138025,0.0,1.0
2013-06-14,376.27606244138025,0.0,1.0
2013-06-15,376.27606244138025,0.0,1.0
2013-06-16,376.27606244138025,0.0,1.0
2013-06-17,376.27606244138025,0.0,1.0
2013-06-18,376.27606244138025,0.0,1.0
2013-06-19,376.27606244138025,0.0,1.0
2013-06-20,376.27606244138025,0.0,1.0
2013-06-21,376.27606244138025,0.0,1.0
2013-06-22,376.27606244138025,0.0,1.0
2013-06-23,376.27606244138025,0.0,1.0
2013-06-24,376.27606244138025,0.0,1.0
2013-06-25,376.27606244138025,0.0,1.0
2013-06-26,376.27606244138025,0.0,1.0
2013-06-27,376.27606244138025,0.0,1.0
2013-06-28,376.27606244138025,0.0,1.0
2013-06-29,376.27606244138025,0.0,1.0
2013-06-30,376.27606244138025,0.0,1.0
2013-07-01,376.27606244138025,0.0,1.0
2013-07-02,376.27606244138025,0.0,1.0
2013-07-03,376.27606244138025,0.0,1.0
2013-07-04,376.27606244138025,0.0,1.0
2013-07-05,376.27606244138025,0.0,1.0
2013-07-06,376.27606244138025,0.0,1.0
2013-07-07,376.27606244138025,0.0,1.0
2013-07-08,376.27606244138025,0.0,1.0
2013-07-09,376.27606244138025,0.0,1.0
2013-07-10,376.27606244138025,0.0,1.0
2013-07-11,376.27606244138025,0.0,1.0
2013-07-12,376.27606244138025,0.0,1.0
2013-07-13,376.27606244138025,0.0,1.0
2013-07-14,376.27606244138025,0.0,1.0
2013-07-15,376.27606244138025,0.0,1.0
2013-07-16,376.27606244138025,0.0,1.0
2013-07-17,376.27606244138025,0.0,1.0
2013-07-18,376.27606244138025,0.0,1.0
2013-07-19,376.27606244138025,0.0,1.0
2013-07-20,376.27606244138025,0.0,1.0
2013-07-21,376.27606244138025,0.0,1.0
2013-07-22,376.27606244138025,0.0,1.0
2013-07-23,376.27606244138025,0.0,1.0
2013-07-24,376.27606244138025,0.0,1.0
2013-07-25,376.27606244138025,0.0,1.0
2013-07-26,376.27606244138025,0.0,1.0
2013-07-27,376.27606244138025,0.0,1.0
2013-07-28,376.27606244138025,0.0,1.0
2013-07-29,376.27606244138025,0.0,1.0
2013-07-30,376.27606244138025,0.0,1.0
2013-07-31,376.27606244138025,0.0,1.0
2013-08-01,376.27606244138025,0.0,1.0
2013-08-02,376.27606244138025,0.0,1.0
2013-08-03,376.27606244138025,0.0,1.0
2013-08-04,376.27606244138025,0.0,1.0
2013-08-05,376.27606244138025,0.0,1.0
2013-08-06,376.27606244138025,0.0,1.0
2013-08-07,376.27606244138025,0.0,1.0
2013-08-08,376.27606244138025,0.0,1.0
2013-08-09,376.27606244138025,0.0,1.0
2013-08-10,376.27606244138025,0.0,1.0
2013-08-11,376.27606244138025,0.0,1.0
2013-08-12,376.27606244138025,0.0,1.0
2013-08-13,376.27606244138025,0.0,1.0
2013-08-14,376.27606244138025,0.0,1.0
2013-08-15,376.27606244138025,0.0,1.0
2013-08-16,376.27606244138025,0.0,1.0
2013-08-17,376.27606244138025,0.0,1.0
2013-08-18,376.27606244138025,0.0,1.0
2013-08-19,376.27606244138025,0.0,1.0
2013-08-20,376.27606244138025,0.0,1.0
2013-08-21,376.27606244138025,0.0,1.0
2013-08-22,376.27606244138025,0.0,1.0
2013-08-23,376.27606244138025,0.0,1.0
2013-08-24,376.27606244138025,0.0,1.0
2013-08-25,376.27606244138025,0.0,1.0
2013-08-26,376.27606244138025,0.0,1.0
2013-08-27,376.27606244138025,0.0,1.0
2013-08-28,376.27606244138025,0.0,1.0
2013-08-29,376.27606244138025,0.0,1.0
2013-08-30,376.27606244138025,0.0,1.0
2013-08-31,376.27606244138025,0.0,1.0
2013-09-01,376.27606244138025,0.0,1.0
2013-09-02,376.27606244138025,0.0,1.0
2013-09-03,376.27606244138025,0.0,1.0
2013-09-04,376.27606244138025,0.0,1.0
2013-09-05,376.27606244138025,0.0,1.0
2013-09-06,376.27606244138025,0.0,1.0
2013-09-07,376.27606244138025,0.0,1.0
2013-09-08,376.27606244138025,0.0,1.0
2013-09-09,376.27606244138025,0.0,1.0
2013-09-10,376.27606244138025,0.0,1.0
2013-09-11,376.27606244138025,0.0,1.0
2013-09-12,376.27606244138025,0.0,1.0
2013-09-13,376.27606244138025,0.0,1.0
2013-09-14,376.27606244138025,0.0,1.0
2013-09-15,376.27606244138025,0.0,1.0
2013-09-16,376.27606244138025,0.0,1.0
2013-09-17,376.27606244138025,0.0,1.0
2013-09-18,376.27606244138025,0.0,1.0
2013-09-19,376.27606244138025,0.0,1.0
2013-09-20,376.27606244138025,0.0,1.0
2013-09-21,376.27606244138025,0.0,1.0
2013-09-22,376.27606244138025,0.0,1.0
2013-09-23,376.27606244138025,0.0,1.0
2013-09-24,376.27606244138025,0.0,1.0
2013-09-25,376.27606244138025,0.0,1.0
2013-09-26,376.27606244138025,0.0,1.0
2013-09-27,376.27606244138025,0.0,1.0
2013-09-28,376.27606244138025,0.0,1.0
2013-09-29,376.27606244138025,0.0,1.0
2013-09-30,376.27606244138025,0.0,1.0
2013-10-01,376.27606244138025,0.0,1.0
2013-10-02,376.27606244138025,0.0,1.0
2013-10-03,376.27606244138025,0.0,1.0
2013-10-04,376.27606244138025,0.0,1.0
2013-10-05,376.27606244138025,0.0,1.0
2013-10-06,376.27606244138025,0.0,1.0
2013-10-07,376.27606244138025,0.0,1.0
2013-10-08,376.27606244138025,0.0,1.0
2013-10-09,376.27606244138025,0.0,1.0
2013-10-10,376.27606244138025,0.0,1.0
2013-10-11,376.27606244138025,0.0,1.0
2013-10-12,376.27606244138025,0.0,1.0
2013-10-13,376.27606244138025,0.0,1.0
2013-10-14,376.27606244138025,0.0,1.0
2013-10-15,376.27606244138025,0.0,1.0
2013-10-16,376.27606244138025,0.0,1.0
2013-10-17,376.27606244138025,0.0,1.0
2013-10-18,376.27606244138025,0.0,1.0
2013-10-19,376.27606244138025,0.0,1.0
2013-10-20,376.27606244138025,0.0,1.0
2013-10-21,376.27606244138025,0.0,1.0
2013-10-22,376.27606244138025,0.0,1.0
2013-10-23,376.27606244138025,0.0,1.0
2013-10-24,376.27606244138025,0.0,1.0
2013-10-25,376.27606244138025,0.0,1.0
2013-10-26,376.27606244138025,0.0,1.0
2013-10-27,376.27606244138025,0.0,1.0
2013-10-28,376.27606244138025,0.0,1.0
2013-10-29,376.27606244138025,0.0,1.0
2013-10-30,376.27606244138025,0.0,1.0
2013-10-31,376.27606244138025,0.0,1.0
2013-11-01,376.27606244138025,0.0,1.0
2013-11-02,376.27606244138025,0.0,1.0
2013-11-03,376.27606244138025,0.0,1.0
2013-11-04,376.27606244138025,0.0,1.0
2013-11-05,376.27606244138025,0.0,1.0
2013-11-06,376.27606244138025,0.0,1.0
2013-11-07,376.27606244138025,0.0,1.0
2013-11-08,376.27606244138025,0.0,1.0
2013-11-09,376.27606244138025,0.0,1.0
2013-11-10,376.27606244138025,0.0,1.0
2013-11-11,376.27606244138025,0.0,1.0
2013-11-12,376.27606244138025,0.0,1.0
2013-11-13,376.27606244138025,0.0,1.0
2013-11-14,376.27606244138025,0.0,1.0
2013-11-15,376.27606244138025,0.0,1.0
2013-11-16,376.27606244138025,0.0,1.0
2013-11-17,376.27606244138025,0.0,1.0
2013-11-18,376.27606244138025,0.0,1.0
2013-11-19,376.27606244138025,0.0,1.0
2013-11-20,376.27606244138025,0.0,1.0
2013-11-21,376.27606244138025,0.0,1.0
2013-11-22,376.27606244138025,0.0,1.0
2013-11-23,376.27606244138025,0.0,1.0
2013-11-24,376.27606244138025,0.0,1.0
2013-11-25,376.27606244138025,0.0,1.0
2013-11-26,376.27606244138025,0.0,1.0
2013-11-27,376.27606244138025,0.0,1.0
2013-11-28,376.27606244138025,0.0,1.0
2013-11-29,376.27606244138025,0.0,1.0
2013-11-30,376.27606244138025,0.0,1.0
2013-12-01,376.27606244138025,0.0,1.0
2013-12-02,376.27606244138025,0.0,1.0
2013-12-03,376.27606244138025,0.0,1.0
2013-12-04,376.27606244138025,0.0,1.0
2013-12-05,376.27606244138025,0.0,1.0
2013-12-06,376.27606244138025,0.0,1.0
2013-12-07,376.27606244138025,0.0,1.0
2013-12-08,376.27606244138025,0.0,1.0
2013-12-09,376.27606244138025,0.0,1.0
2013-12-10,376.27606244138025,0.0,1.0
2013-12-11,376.27606244138025,0.0,1.0
2013-12-12,376.27606244138025,0.0,1.0
2013-12-13,376.27606244138025,0.0,1.0
2013-12-14,376.27606244138025,0.0,1.0
2013-12-15,376.27606244138025,0.0,1.0
2013-12-16,376.27606244138025,0.0,1.0
2013-12-17,376.27606244138025,0.0,1.0
2013-12-18,376.27606244138025,0.0,1.0
2013-12-19,376.27606244138025,0.0,1.0
2013-12-20,376.27606244138025,0.0,1.0
2013-12-21,376.27606244138025,0.0,1.0
2013-12-22,376.27606244138025,0.0,1.0
2013-12-23,376.27606244138025,0.0,1.0
2013-12-24,376.27606244138025,0.0,1.0
2013-12-25,376.27606244138025,0.0,1.0
2013-12-26,376.27606244138025,0.0,1.0
2013-12-27,376.27606244138025,0.0,1.0
2013-12-28,376.27606244138025,0.0,1.0
2013-12-29,376.27606244138025,0.0,1.0
2013-12-30,376.27606244138025,0.0,1.0
2013-12-31,376.27606244138025,0.0,1.0
2014-01-01,376.27606244138025,0.0,1.0
2014-01-02,376.27606244138025,0.0,1.0
2014-01-03,376.27606244138025,0.0,1.0
2014-01-04,376.27606244138025,0.0,1.0
2014-01-05,376.27606244138025,0.0,1.0
2014-01-06,376.27606244138025,0.0,1.0
2014-01-07,376.27606244138025,0.0,1.0
2014-01-08,376.27606244138025,0.0,1.0
2014-01-09,376.27606244138025,0.0,1.0
2014-01-10,376.27606244138025,0.0,1.0
2014-01-11,376.27606244138025,0.0,1.0
2014-01-12,376.27606244138025,0.0,1.0
2014-01-13,376.27606244138025,0.0,1.0
2014-01-14,376.27606244138025,0.0,1.0
2014-01-15,376.27606244138025,0.0,1.0
2014-01-16,376.27606244138025,0.0,1.0
2014-01-17,376.27606244138025,0.0,1.0
2014-01-18,376.27606244138025,0.0,1.0
2014-01-19,376.27606244138025,0.0,1.0
2014-01-20,376.27606244138025,0.0,1.0
2014-01-21,376.27606244138025,0.0,1.0
2014-01-22,376.27606244138025,0.0,1.0
2014-01-23,376.27606244138025,0.0,1.0
2014-01-24,376.27606244138025,0.0,1.0
2014-01-25,376.27606244138025,0.0,1.0
2014-01-26,376.27606244138025,0.0,1.0
2014-01-27,376.27606244138025,0.0,1.0
2014-01-28,376.27606244138025,0.0,1.0
2014-01-29,376.27606244138025,0.0,1.0
2014-01-30,376.27606244138025,0.0,1.0
2014-01-31,376.27606244138025,0.0,1.0
2014-02-01,376.27606244138025,0.0,1.0
2014-02-02,376.27606244138025,0.0,1.0
2014-02-03,376.27606244138025,0.0,1.0
2014-02-04,376.27606244138025,0.0,1.0
2014-02-05,376.27606244138025,0.0,1.0
2014-02-06,376.27606244138025,0.0,1.0
2014-02-07,376.27606244138025,0.0,1.0
2014-02-08,376.27606244138025,0.0,1.0
2014-02-09,376.27606244138025,0.0,1.0
2014-02-10,376.27606244138025,0.0,1.0
2014-02-11,376.27606244138025,0.0,1.0
2014-02-12,376.27606244138025,0.0,1.0
2014-02-13,376.27606244138025,0.0,1.0
2014-02-14,376.27606244138025,0.0,1.0
2014-02-15,376.27606244138025,0.0,1.0
2014-02-16,376.27606244138025,0.0,1.0
2014-02-17,376.27606244138025,0.0,1.0
2014-02-18,376.27606244138025,0.0,1.0
2014-02-19,376.27606244138025,0.0,1.0
2014-02-20,376.27606244138025,0.0,1.0
2014-02-21,376.27606244138025,0.0,1.0
2014-02-22,376.27606244138025,0.0,1.0
2014-02-23,376.27606244138025,0.0,1.0
2014-02-24,376.27606244138025,0.0,1.0
2014-02-25,376.27606244138025,0.0,1.0
2014-02-26,376.27606244138025,0.0,1.0
2014-02-27,376.27606244138025,0.0,1.0
2014-02-28,376.27606244138025,0.0,1.0
2014-03-01,376.27606244138025,0.0,1.0
2014-03-02,376.27606244138025,0.0,1.0
2014-03-03,376.27606244138025,0.0,1.0
2014-03-04,376.27606244138025,0.0,1.0
2014-03-05,376.27606244138025,0.0,1.0
2014-03-06,376.27606244138025,0.0,1.0
2014-03-07,376.27606244138025,0.0,1.0
2014-03-08,376.27606244138025,0.0,1.0
2014-03-09,376.27606244138025,0.0,1.0
2014-03-10,376.27606244138025,0.0,1.0
2014-03-11,376.27606244138025,0.0,1.0
2014-03-12,376.27606244138025,0.0,1.0
2014-03-13,376.27606244138025,0.0,1.0
2014-03-14,376.27606244138025,0.0,1.0
2014-03-15,376.27606244138025,0.0,1.0
2014-03-16,376.27606244138025,0.0,1.0
2014-03-17,376.27606244138025,0.0,1.0
2014-03-18,376.27606244138025,0.0,1.0
2014-03-19,376.27606244138025,0.0,1.0
2014-03-20,376.27606244138025,0.0,1.0
2014-03-21,376.27606244138025,0.0,1.0
2014-03-22,376.27606244138025,0.0,1.0
2014-03-23,376.27606244138025,0.0,1.0
2014-03-24,376.27606244138025,0.0,1.0
2014-03-25,376.27606244138025,0.0,1.0
2014-03-26,376.27606244138025,0.0,1.0
2014-03-27,376.27606244138025,0.0,1.0
2014-03-28,376.27606244138025,0.0,1.0
2014-03-29,376.27606244138025,0.0,1.0
2014-03-30,376.27606244138025,0.0,1.0
2014-03-31,376.27606244138025,0.0,1.0
2014-04-01,376.27606244138025,0.0,1.0
2014-04-02,376.27606244138025,0.0,1.0
2014-04-03,376.27606244138025,0.0,1.0
2014-04-04,376.27606244138025,0.0,1.0
2014-04-05,376.27606244138025,0.0,1.0
2014-04-06,376.27606244138025,0.0,1.0
2014-04-07,376.27606244138025,0.0,1.0
2014-04-08,376.27606244138025,0.0,1.0
2014-04-09,376.27606244138025,0.0,1.0
2014-04-10,376.27606244138025,0.0,1.0
2014-04-11,376.27606244138025,0.0,1.0
2014-04-12,376.27606244138025,0.0,1.0
2014-04-13,376.27606244138025,0.0,1.0
2014-04-14,376.27606244138025,0.0,1.0
2014-04-15,376.27606244138025,0.0,1.0
2014-04-16,376.27606244138025,0.0,1.0
2014-04-17,376.27606244138025,0.0,1.0
2014-04-18,376.27606244138025,0.0,1.0
2014-04-19,376.27606244138025,0.0,1.0
2014-04-20,376.27606244138025,0.0,1.0
2014-04-21,376.27606244138025,0.0,1.0
2014-04-22,376.27606244138025,0.0,1.0
2014-04-23,376.27606244138025,0.0,1.0
2014-04-24,376.27606244138025,0.0,1.0
2014-04-25,376.27606244138025,0.0,1.0
2014-04-26,376.27606244138025,0.0,1.0
2014-04-27,376.27606244138025,0.0,1.0
2014-04-28,376.27606244138025,0.0,1.0
2014-04-29,376.27606244138025,0.0,1.0
2014-04-30,376.27606244138025,0.0,1.0
2014-05-01,376.27606244138025,0.0,1.0
2014-05-02,376.27606244138025,0.0,1.0
2014-05-03,376.27606244138025,0.0,1.0
2014-05-04,376.27606244138025,0.0,1.0
2014-05-05,376.27606244138025,0.0,1.0
2014-05-06,376.27606244138025,0.0,1.0
2014-05-07,376.27606244138025,0.0,1.0
2014-05-08,376.27606244138025,0.0,1.0
2014-05-09,376.27606244138025,0.0,1.0
2014-05-10,376.27606244138025,0.0,1.0
2014-05-11,376.27606244138025,0.0,1.0
2014-05-12,376.27606244138025,0.0,1.0
2014-05-13,376.27606244138025,0.0,1.0
2014-05-14,376.27606244138025,0.0,1.0
2014-05-15,376.27606244138025,0.0,1.0
2014-05-16,376.27606244138025,0.0,1.0
2014-05-17,376.27606244138025,0.0,1.0
2014-05-18,376.27606244138025,0.0,1.0
2014-05-19,376.27606244138025,0.0,1.0
2014-05-20,376.27606244138025,0.0,1.0
2014-05-21,376.27606244138025,0.0,1.0
2014-05-22,376.27606244138025,0.0,1.0
2014-05-23,376.27606244138025,0.0,1.0
2014-05-24,376.27606244138025,0.0,1.0
2014-05-25,376.27606244138025,0.0,1.0
2014-05-26,376.27606244138025,0.0,1.0
2014-05-27,376.27606244138025,0.0,1.0
2014-05-28,376.27606244138025,0.0,1.0
2014-05-29,376.27606244138025,0.0,1.0
2014-05-30,376.27606244138025,0.0,1.0
2014-05-31,376.27606244138025,0.0,1.0
2014-06-01,376.27606244138025,0.0,1.0
2014-06-02,376.27606244138025,0.0,1.0
2014-06-03,376.27606244138025,0.0,1.0
2014-06-04,376.27606244138025,0.0,1.0
2014-06-05,376.27606244138025,0.0,1.0
2014-06-06,376.27606244138025,0.0,1.0
2014-06-07,376.27606244138025,0.0,1.0
2014-06-08,376.27606244138025,0.0,1.0
2014-06-09,376.27606244138025,0.0,1.0
2014-06-10,376.27606244138025,0.0,1.0
2014-06-11,376.27606244138025,0.0,1.0
2014-06-12,376.27606244138025,0.0,1.0
2014-06-13,376.27606244138025,0.0,1.0
2014-06-14,376.27606244138025,0.0,1.0
2014-06-15,376.27606244138025,0.0,1.0
2014-06-16,376.27606244138025,0.0,1.0
2014-06-17,376.27606244138025,0.0,1.0
2014-06-18,376.27606244138025,0.0,1.0
2014-06-19,376.27606244138025,0.0,1.0
2014-06-20,376.27606244138025,0.0,1.0
2014-06-21,376.27606244138025,0.0,1.0
2014-06-22,376.27606244138025,0.0,1.0
2014-06-23,376.27606244138025,0.0,1.0
2014-06-24,376.27606244138025,0.0,1.0
2014-06-25,376.27606244138025,0.0,1.0
2014-06-26,376.27606244138025,0.0,1.0
2014-06-27,376.27606244138025,0.0,1.0
2014-06-28,376.27606244138025,0.0,1.0
2014-06-29,376.27606244138025,0.0,1.0
2014-06-30,376.27606244138025,0.0,1.0
2014-07-01,376.27606244138025,0.0,1.0
2014-07-02,376.27606244138025,0.0,1.0
2014-07-03,376.27606244138025,0.0,1.0
2014-07-04,376.27606244138025,0.0,1.0
2014-07-05,376.27606244138025,0.0,1.0
2014-07-06,376.27606244138025,0.0,1.0
2014-07-07,376.27606244138025,0.0,1.0
2014-07-08,376.27606244138025,0.0,1.0
2014-07-09,376.27606244138025,0.0,1.0
2014-07-10,376.27606244138025,0.0,1.0
2014-07-11,376.27606244138025,0.0,1.0
2014-07-12,376.27606244138025,0.0,1.0
2014-07-13,376.27606244138025,0.0,1.0
2014-07-14,376.27606244138025,0.0,1.0
2014-07-15,376.27606244138025,0.0,1.0
2014-07-16,376.27606244138025,0.0,1.0
2014-07-17,376.27606244138025,0.0,1.0
2014-07-18,376.27606244138025,0.0,1.0
2014-07-19,376.27606244138025,0.0,1.0
2014-07-20,376.27606244138025,0.0,1.0
2014-07-21,376.27606244138025,0.0,1.0
2014-07-22,376.27606244138025,0.0,1.0
2014-07-23,376.27606244138025,0.0,1.0
2014-07-24,376.27606244138025,0.0,1.0
2014-07-25,376.27606244138025,0.0,1.0
2014-07-26,376.27606244138025,0.0,1.0
2014-07-27,376.27606244138025,0.0,1.0
2014-07-28,376.27606244138025,0.0,1.0
2014-07-29,376.27606244138025,0.0,1.0
2014-07-30,376.27606244138025,0.0,1.0
2014-07-31,376.27606244138025,0.0,1.0
2014-08-01,376.27606244138025,0.0,1.0
2014-08-02,376.27606244138025,0.0,1.0
2014-08-03,376.27606244138025,0.0,1.0
2014-08-04,376.27606244138025,0.0,1.0
2014-08-05,376.27606244138025,0.0,1.0
2014-08-06,376.27606244138025,0.0,1.0
2014-08-07,376.27606244138025,0.0,1.0
2014-08-08,376.27606244138025,0.0,1.0
2014-08-09,376.27606244138025,0.0,1.0
2014-08-10,376.27606244138025,0.0,1.0
2014-08-11,376.27606244138025,0.0,1.0
2014-08-12,376.27606244138025,0.0,1.0
2014-08-13,376.27606244138025,0.0,1.0
2014-08-14,376.27606244138025,0.0,1.0
2014-08-15,376.27606244138025,0.0,1.0
2014-08-16,376.27606244138025,0.0,1.0
2014-08-17,376.27606244138025,0.0,1.0
2014-08-18,376.27606244138025,0.0,1.0
2014-08-19,376.27606244138025,0.0,1.0
2014-08-20,376.27606244138025,0.0,1.0
2014-08-21,376.27606244138025,0.0,1.0
2014-08-22,376.27606244138025,0.0,1.0
2014-08-23,376.27606244138025,0.0,1.0
2014-08-24,376.27606244138025,0.0,1.0
2014-08-25,376.27606244138025,0.0,1.0
2014-08-26,376.27606244138025,0.0,1.0
2014-08-27,376.27606244138025,0.0,1.0
2014-08-28,376.27606244138025,0.0,1.0
2014-08-29,376.27606244138025,0.0,1.0
2014-08-30,376.27606244138025,0.0,1.0
2014-08-31,376.27606244138025,0.0,1.0
2014-09-01,376.27606244138025,0.0,1.0
2014-09-02,376.27606244138025,0.0,1.0
2014-09-03,376.27606244138025,0.0,1.0
2014-09-04,376.27606244138025,0.0,1.0
2014-09-05,376.27606244138025,0.0,1.0
2014-09-06,376.27606244138025,0.0,1.0
2014-09-07,376.27606244138025,0.0,1.0
2014-09-08,376.27606244138025,0.0,1.0
2014-09-09,376.27606244138025,0.0,1.0
2014-09-10,376.27606244138025,0.0,1.0
2014-09-11,376.27606244138025,0.0,1.0
2014-09-12,376.27606244138025,0.0,1.0
2014-09-13,376.27606244138025,0.0,1.0
2014-09-14,376.27606244138025,0.0,1.0
2014-09-15,376.27606244138025,0.0,1.0
2014-09-16,376.27606244138025,0.0,1.0
2014-09-17,376.27606244138025,0.0,1.0
2014-09-18,376.27606244138025,0.0,1.0
2014-09-19,376.27606244138025,0.0,1.0
2014-09-20,376.27606244138025,0.0,1.0
2014-09-21,376.27606244138025,0.0,1.0
2014-09-22,376.27606244138025,0.0,1.0
2014-09-23,376.27606244138025,0.0,1.0
2014-09-24,376.27606244138025,0.0,1.0
2014-09-25,376.27606244138025,0.0,1.0
2014-09-26,376.27606244138025,0.0,1.0
2014-09-27,376.27606244138025,0.0,1.0
2014-09-28,376.27606244138025,0.0,1.0
2014-09-29,376.27606244138025,0.0,1.0
2014-09-30,376.27606244138025,0.0,1.0
2014-10-01,376.27606244138025,0.0,1.0
2014-10-02,376.27606244138025,0.0,1.0
2014-10-03,376.27606244138025,0.0,1.0
2014-10-04,376.27606244138025,0.0,1.0
2014-10-05,376.27606244138025,0.0,1.0
2014-10-06,376.27606244138025,0.0,1.0
2014-10-07,376.27606244138025,0.0,1.0
2014-10-08,376.27606244138025,0.0,1.0
2014-10-09,376.27606244138025,0.0,1.0
2014-10-10,376.27606244138025,0.0,1.0
2014-10-11,376.27606244138025,0.0,1.0
2014-10-12,376.27606244138025,0.0,1.0
2014-10-13,376.27606244138025,0.0,1.0
2014-10-14,376.27606244138025,0.0,1.0
2014-10-15,376.27606244138025,0.0,1.0
2014-10-16,376.27606244138025,0.0,1.0
2014-10-17,376.27606244138025,0.0,1.0
2014-10-18,376.27606244138025,0.0,1.0
2014-10-19,376.27606244138025,0.0,1.0
2014-10-20,376.27606244138025,0.0,1.0
2014-10-21,376.27606244138025,0.0,1.0
2014-10-22,376.27606244138025,0.0,1.0
2014-10-23,376.27606244138025,0.0,1.0
2014-10-24,376.27606244138025,0.0,1.0
2014-10-25,376.27606244138025,0.0,1.0
2014-10-26,376.27606244138025,0.0,1.0
2014-10-27,376.27606244138025,0.0,1.0
2014-10-28,376.27606244138025,0.0,1.0
2014-10-29,376.27606244138025,0.0,1.0
2014-10-30,376.27606244138025,0.0,1.0
2014-10-31,376.27606244138025,0.0,1.0
2014-11-01,376.27606244138025,0.0,1.0
2014-11-02,376.27606244138025,0.0,1.0
2014-11-03,376.27606244138025,0.0,1.0
2014-11-04,376.27606244138025,0.0,1.0
2014-11-05,376.27606244138025,0.0,1.0
2014-11-06,376.27606244138025,0.0,1.0
2014-11-07,376.27606244138025,0.0,1.0
2014-11-08,376.27606244138025,0.0,1.0
2014-11-09,376.27606244138025,0.0,1.0
2014-11-10,376.27606244138025,0.0,1.0
2014-11-11,376.27606244138025,0.0,1.0
2014-11-12,376.27606244138025,0.0,1.0
2014-11-13,376.27606244138025,0.0,1.0
2014-11-14,376.27606244138025,0.0,1.0
2014-11-15,376.27606244138025,0.0,1.0
2014-11-16,376.27606244138025,0.0,1.0
2014-11-17,376.27606244138025,0.0,1.0
2014-11-18,376.27606244138025,0.0,1.0
2014-11-19,376.27606244138025,0.0,1.0
2014-11-20,376.27606244138025,0.0,1.0
2014-11-21,376.27606244138025,0.0,1.0
2014-11-22,376.27606244138025,0.0,1.0
2014-11-23,376.27606244138025,0.0,1.0
2014-11-24,376.27606244138025,0.0,1.0
2014-11-25,376.27606244138025,0.0,1.0
2014-11-26,376.27606244138025,0.0,1.0
2014-11-27,376.27606244138025,0.0,1.0
2014-11-28,376.27606244138025,0.0,1.0
2014-11-29,376.27606244138025,0.0,1.0
2014-11-30,376.27606244138025,0.0,1.0
2014-12-01,376.27606244138025,0.0,1.0
2014-12-02,376.27606244138025,0.0,1.0
2014-12-03,376.27606244138025,0.0,1.0
2014-12-04,376.27606244138025,0.0,1.0
2014-12-05,376.27606244138025,0.0,1.0
2014-12-06,376.27606244138025,0.0,1.0
2014-12-07,376.27606244138025,0.0,1.0
2014-12-08,376.27606244138025,0.0,1.0
2014-12-09,376.27606244138025,0.0,1.0
2014-12-10,376.27606244138025,0.0,1.0
2014-12-11,376.27606244138025,0.0,1.0
2014-12-12,376.27606244138025,0.0,1.0
2014-12-13,376.27606244138025,0.0,1.0
2014-12-14,376.27606244138025,0.0,1.0
2014-12-15,376.27606244138025,0.0,1.0
2014-12-16,376.27606244138025,0.0,1.0
2014-12-17,376.27606244138025,0.0,1.0
2014-12-18,376.27606244138025,0.0,1.0
2014-12-19,376.27606244138025,0.0,1.0
2014-12-20,376.27606244138025,0.0,1.0
2014-12-21,376.27606244138025,0.0,1.0
2014-12-22,376.27606244138025,0.0,1.0
2014-12-23,376.27606244138025,0.0,1.0
2014-12-24,376.27606244138025,0.0,1.0
2014-12-25,376.27606244138025,0.0,1.0
2014-12-26,376.27606244138025,0.0,1.0
2014-12-27,376.27606244138025,0.0,1.0
2014-12-28,376.27606244138025,0.0,1.0
2014-12-29,376.27606244138025,0.0,1.0
2014-12-30,376.27606244138025,0.0,1.0
2014-12-31,376.27606244138025,0.0,1.0
2015-01-01,376.27606244138025,0.0,1.0
